"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_01359_igtop"	59.2478635226717	-0.171181191307707	0.276054594167984	-0.620567944307775	0.534883936469604	0.999614234190279
"PROKKA_01359_igbot"	2.49182373745225	-0.377569872627186	0.230891249621886	-1.64704743024855	0.0995482972184146	NA
"PROKKA_01359_sense"	5.95839086134797	0.0450298313333061	0.279827901415956	0.161344651557124	0.871821957060513	NA
"PROKKA_01359_antis"	9.34496842071555	-0.0843987298981404	0.290336651094015	-0.290995942220314	0.771054422926767	0.999614234190279
"PROKKA_01360_sense"	138.341642417467	-0.12248115281853	0.253356711366449	-0.483233651446739	0.628929844022431	0.999614234190279
"PROKKA_01361_igtop"	4.45904799204122	-0.0510092985171163	0.264300648944606	-0.19232606666281	0.847486801279487	NA
"PROKKA_01361_igbot"	1.77981189524914	-0.138708190528803	0.19947755342729	-0.69031358829288	0.48999700451232	NA
"PROKKA_01361_sense"	2.83242866507436	-0.282803595949694	0.239710977080281	-1.16830650150036	0.242683153796727	NA
"PROKKA_01361_antis"	1.55382855547082	-0.02829505068364	0.196217129699835	-0.146646472976258	0.883411070058773	NA
"PROKKA_01362_igtop"	7.20438808634336	0.0849777601101816	0.284681153951025	0.29712896441955	0.76636805197491	NA
"PROKKA_01362_sense"	12.0199047942447	0.162537242332524	0.292310024165747	0.559323888910296	0.575940694658049	0.999614234190279
"PROKKA_01362_antis"	9.16734505922914	0.10296748108533	0.289685116943452	0.356914631271061	0.721155715952426	0.999614234190279
"PROKKA_01363_sense"	23.3690454586637	-0.19628474821632	0.286345474420157	-0.685743927524888	0.492874600949443	0.999614234190279
"PROKKA_01363_antis"	2.85908742827814	-0.0312969437210486	0.238728740160118	-0.132409892971606	0.894660090115486	NA
"PROKKA_01364_sense"	258.653718318893	-0.142080141684217	0.235961865469603	-0.602106958643014	0.54710294281527	0.999614234190279
